B3R3,B3R10,B3R9B,B3R6,B14R2,B14R23,B14R15BTERSEDIA,B1282R6,B8R2K3N,B8R2K4N,B4R10B,B121R1,B121R4,B121R5,B121R7,B121R10,B122R3,B1282R1,B1282R2,B1282R3,B1282R4,B1282R5,B122R11,B122R1,B4R3,B51R1B,B3R22E,B3R24,B3R40,B51R2DK2,B14R16,B14R7A,B126R4A,X_Pengiriman_RKO,X_Metode_Pembelian_Kapitasi,X_Persentase_Pemenuhan_EPurchasing,X_Sumber_Dana_Umum,X_Kondisi_Ruang_Farmasi,X_Kualitas_Gudang,X_Sumber_Dana_BPJS,X_Proporsi_Kapitasi,X_Sistem_Pencatatan,X_Kerusakan_Obat,X_Kepemilikan_Kendaraan,X_Intensitas_Kapitasi,Total_Kelompok_Obat_Dinkes
1,0,1,1,2,-1,0,0,0,0,2,1,1,2,1,0,2,0,0,1,12,0,1,0,0,1,1,4,1,0,1,2,1,1,-1,0,2,6,3,3,1,0,1,3,4,18
0,0,2,2,2,671,1,0,0,0,1,0,0,0,1,0,2,1,2,1,2,0,1,2,1,1,1,4,1,1,1,1,0,0,0,0,2,6,2,2,1,3,3,2,1,26
1,2,2,3,2,15377,0,1,0,2,2,1,1,2,1,0,2,0,0,1,10,0,1,0,1,1,1,4,1,1,2,1,1,1,1,4,3,6,3,3,1,1,1,3,1,31
0,0,0,3,2,1404,0,0,1,1,2,1,3,2,1,0,1,1,2,1,4,1,1,2,0,1,0,4,0,0,2,2,1,0,1,0,2,6,3,3,1,3,3,3,2,32
0,1,2,2,2,8123,0,1,1,1,2,0,0,0,0,1,2,0,0,1,12,0,1,2,0,1,1,4,0,0,2,1,0,0,0,0,3,6,4,3,1,2,1,3,2,32
1,0,1,1,2,7387,0,1,1,2,2,1,1,1,1,0,0,0,0,1,4,0,1,0,1,1,1,4,1,1,2,2,1,1,0,0,2,6,3,2,1,2,1,3,0,31
1,0,1,1,2,4741,0,1,0,0,2,1,1,2,1,0,2,0,0,1,12,0,1,1,0,1,1,3,1,1,1,1,1,1,1,0,3,6,3,2,1,2,0,1,4,33
1,2,0,2,2,841,1,1,2,1,2,1,3,1,1,0,2,0,0,1,12,0,1,2,0,1,0,2,1,1,2,2,1,3,-1,0,1,5,3,3,1,1,1,3,1,29
0,0,2,2,2,18960,0,0,0,0,2,1,1,1,1,0,0,0,0,1,12,1,1,1,1,1,1,4,1,1,2,1,1,1,0,0,3,6,4,3,1,3,1,3,0,25
0,0,0,0,2,6663,0,1,0,2,2,1,1,2,0,1,2,1,1,1,12,0,1,1,1,2,0,1,1,1,1,1,0,1,1,3,2,6,3,3,1,1,1,3,2,25
0,0,3,2,2,11260,0,1,0,0,2,1,3,2,1,0,3,1,4,1,4,0,1,2,2,1,1,4,1,1,2,1,1,1,2,3,3,6,4,3,1,1,1,3,4,32
